TICKET,TYPE,MARKET,UNITS,PRICE,PROFIT (AUD),BALANCE,DATE/TIME
4894,MARKET_ORDER_REJECT,USD/CAD,,,,,1/03/2016 13:45
4893,Buy Market,AUD/USD,99622,0.76854,,1103609.92,1/03/2016 13:45
4891,Buy Market,USD/CAD,142029,1.33059,,1103609.92,1/03/2016 13:30
4889,Buy Market,AUD/USD,116811,0.76838,,1103609.92,1/03/2016 13:30
4887,MARKET_ORDER_REJECT,USD/CAD,,,,,1/03/2016 13:15
4886,Buy Market,AUD/USD,128569,0.7687,,1103609.92,1/03/2016 13:15
4884,MARKET_ORDER_REJECT,USD/CAD,,,,,1/03/2016 10:30
4883,MARKET_ORDER_REJECT,AUD/USD,,,,,1/03/2016 10:30
4882,Buy Market,USD/CAD,31285,1.32994,,1103609.92,1/03/2016 10:16
4880,Buy Market,AUD/USD,24682,0.77016,,1103609.92,1/03/2016 10:16
4878,Buy Market,USD/CAD,11774,1.33127,,1103609.92,1/03/2016 7:45
4876,Buy Market,AUD/USD,8141,0.77053,,1103609.92,1/03/2016 7:45
4874,MARKET_ORDER_REJECT,USD/CAD,,,,,1/03/2016 7:30
4873,MARKET_ORDER_REJECT,AUD/USD,,,,,1/03/2016 7:30
4872,MARKET_ORDER_REJECT,USD/CAD,,,,,1/03/2016 7:15
4871,Buy Market,AUD/USD,9750,0.77098,,1103609.92,1/03/2016 7:15
4869,MARKET_ORDER_REJECT,USD/CAD,,,,,1/03/2016 7:00
4868,Buy Market,AUD/USD,11552,0.77137,,1103609.92,1/03/2016 7:00
4866,Financing,,,,-24.4192,1103634.34,1/03/2016 7:00
4865,Financing,,,,1.4423,1103634.34,1/03/2015 15:18
4865,Take Profit,AUD/USD,640978,0.75732,1100.1009,1103632.9,1/03/2015 15:18
4864,Financing,,,,0.7737,1102532.8,1/03/2015 13:20
4864,Take Profit,AUD/USD,496658,0.75712,800.1621,1102532.02,1/03/2015 13:20
4863,Financing,,,,0.3415,1101731.86,1/03/2015 13:20
4863,Take Profit,AUD/USD,207207,0.75712,347.5112,1101731.52,1/03/2015 13:20
4862,Financing,,,,0.0059,1101384.01,1/03/2015 13:08
4862,Take Profit,AUD/USD,106054,0.75678,26.6214,1101384,1/03/2015 13:08
4861,MARKET_ORDER_REJECT,USD/CAD,,,,,1/03/2015 13:00
4860,Change Trade,,,1,,,1/03/2015 13:00
4859,Buy Market,AUD/USD,106054,0.75659,,1101357.38,1/03/2015 13:00
4857,Financing,,,,0.0036,1101357.38,1/03/2015 12:50
4857,Take Profit,AUD/USD,100676,0.75654,29.2713,1101357.38,1/03/2015 12:50
4856,MARKET_ORDER_REJECT,USD/CAD,,,,,1/03/2015 12:45
4855,Change Trade,,,1,,,1/03/2015 12:45
4854,Buy Market,AUD/USD,100676,0.75632,,1101328.11,1/03/2015 12:45
4852,Financing,,,,0.0081,1101328.11,1/03/2015 12:44
