symbol,date,act_log_ret,model_h2,mean_log_ret,vol_log_ret,accuracy_model_h2
AAPL,1/2/2015,-0.024,-0.045,0.032,0.007,0.624
AAPL,1/5/2015,-0.07,-0.057,0.033,0.007,0.812
AAPL,1/6/2015,-0.07,-0.052,0.033,0.007,0.906
AAPL,1/7/2015,-0.043,-0.041,0.033,0.007,0.953
AAPL,1/8/2015,0.014,-0.048,0.033,0.007,0.477
AAPL,1/9/2015,0.024,-0.029,0.033,0.007,0.238
AAPL,1/12/2015,0.028,-0.009,0.033,0.007,0.119
AAPL,1/13/2015,0.037,0.016,0.033,0.007,0.56
AAPL,1/14/2015,0.019,0.015,0.033,0.007,0.78
AAPL,1/15/2015,-0.046,0.008,0.033,0.007,0.39
AAPL,1/16/2015,-0.055,0.002,0.033,0.007,0.195
AAPL,1/20/2015,-0.005,0.004,0.033,0.007,0.097
AAPL,1/21/2015,-0.006,-0.006,0.033,0.007,0.549
AAPL,1/22/2015,0.023,-0.008,0.033,0.007,0.274
AAPL,1/23/2015,0.056,0.015,0.034,0.007,0.637
AAPL,1/26/2015,0.065,0.019,0.033,0.008,0.819
AAPL,1/27/2015,0.004,0.017,0.033,0.008,0.909
AAPL,1/28/2015,0.051,0.003,0.032,0.009,0.955
AAPL,1/29/2015,0.056,0.007,0.031,0.009,0.977
AAPL,1/30/2015,0.036,0.004,0.031,0.01,0.989
AAPL,2/2/2015,0.048,-0.011,0.031,0.01,0.494
AAPL,2/3/2015,0.084,0.014,0.031,0.01,0.747
AAPL,2/4/2015,0.036,-0.007,0.031,0.01,0.374
AAPL,2/5/2015,0.013,-0.008,0.031,0.01,0.187
AAPL,2/6/2015,0.019,-0.003,0.031,0.01,0.093
AAPL,2/9/2015,0.013,0.014,0.031,0.01,0.547
AAPL,2/10/2015,0.032,0.023,0.031,0.01,0.773
AAPL,2/11/2015,0.047,0.004,0.031,0.01,0.887
AAPL,2/12/2015,0.053,0.007,0.031,0.01,0.943
AAPL,2/13/2015,0.066,0.014,0.031,0.01,0.972
AAPL,2/17/2015,0.066,0.016,0.031,0.01,0.986
AAPL,2/18/2015,0.053,0.003,0.031,0.01,0.993
AAPL,2/19/2015,0.028,0.007,0.031,0.011,0.996
AAPL,2/20/2015,0.024,0.01,0.031,0.011,0.998
AAPL,2/23/2015,0.046,0.007,0.031,0.011,0.999
AAPL,2/24/2015,0.033,0.004,0.031,0.011,1
AAPL,2/25/2015,0.001,-0.009,0.031,0.011,0.5
AAPL,2/26/2015,0.015,-0.003,0.031,0.012,0.25
AAPL,2/27/2015,-0.008,-0.001,0.031,0.011,0.625
AAPL,3/2/2015,-0.03,-0.028,0.031,0.011,0.812
AAPL,3/3/2015,-0.021,-0.037,0.031,0.011,0.906
AAPL,3/4/2015,-0.002,-0.016,0.031,0.011,0.953
AAPL,3/5/2015,-0.031,-0.017,0.031,0.011,0.977
AAPL,3/6/2015,-0.015,-0.012,0.031,0.011,0.988
AAPL,3/9/2015,-0.015,-0.028,0.031,0.011,0.994
AAPL,3/10/2015,-0.038,-0.02,0.031,0.011,0.997
AAPL,3/11/2015,-0.05,-0.02,0.032,0.01,0.999
AAPL,3/12/2015,-0.016,-0.015,0.032,0.01,0.999
AAPL,3/13/2015,-0.024,-0.019,0.032,0.01,1
AAPL,3/16/2015,-0.017,-0.011,0.032,0.01,1
AAPL,3/17/2015,0.02,0.008,0.032,0.01,1
AAPL,3/18/2015,0.05,0.013,0.032,0.011,1
AAPL,3/19/2015,0.024,0.014,0.032,0.011,1
AAPL,3/20/2015,0.019,0.014,0.032,0.011,1
AAPL,3/23/2015,0.018,0.01,0.032,0.011,1
AAPL,3/24/2015,-0.003,0.008,0.032,0.01,0.5
AAPL,3/25/2015,-0.04,-0.002,0.032,0.01,0.75
AAPL,3/26/2015,-0.026,0.007,0.032,0.01,0.375
AAPL,3/27/2015,-0.021,0.018,0.032,0.01,0.187
AAPL,3/30/2015,-0.007,0.015,0.032,0.01,0.094
AAPL,3/31/2015,-0.018,0.012,0.032,0.01,0.047
AAPL,4/1/2015,0.007,-0.022,0.032,0.01,0.023
AAPL,4/2/2015,0.009,-0.013,0.032,0.01,0.012
AAPL,4/6/2015,0.033,0.005,0.032,0.01,0.506
AAPL,4/7/2015,-0.003,-0.018,0.032,0.01,0.753
AAPL,4/8/2015,0.009,0.02,0.032,0.011,0.876
AAPL,4/9/2015,0.018,0.029,0.032,0.011,0.938
AAPL,4/10/2015,0.014,0.022,0.032,0.011,0.969
AAPL,4/13/2015,-0.004,-0.003,0.032,0.011,0.985
AAPL,4/14/2015,0.002,-0.01,0.032,0.011,0.492
AAPL,4/15/2015,0.009,-0.014,0.032,0.011,0.246
AAPL,4/16/2015,-0.003,-0.013,0.032,0.011,0.623
AAPL,4/17/2015,-0.019,-0.014,0.032,0.011,0.812
AAPL,4/20/2015,0.006,-0.026,0.032,0.011,0.406
AAPL,4/21/2015,0.005,0,0.032,0.011,0.203
AAPL,4/22/2015,0.014,0.017,0.031,0.01,0.601
AAPL,4/23/2015,0.027,0.015,0.031,0.01,0.801
AAPL,4/24/2015,0.043,0.029,0.03,0.01,0.9
AAPL,4/27/2015,0.039,0.016,0.03,0.01,0.95
AAPL,4/28/2015,0.028,0.012,0.029,0.009,0.975
AAPL,4/29/2015,0,0.001,0.029,0.009,0.738
AAPL,4/30/2015,-0.035,-0.005,0.029,0.009,0.869
AAPL,5/1/2015,-0.01,0.053,0.029,0.009,0.434
AAPL,5/4/2015,-0.03,0.035,0.029,0.009,0.217
AAPL,5/5/2015,-0.037,0.025,0.029,0.008,0.109
AAPL,5/6/2015,-0.029,0.017,0.029,0.008,0.054
AAPL,5/7/2015,0.005,0.028,0.029,0.008,0.527
AAPL,5/8/2015,-0.006,-0.012,0.029,0.008,0.764
AAPL,5/11/2015,-0.015,-0.014,0.029,0.008,0.882
AAPL,5/12/2015,0.005,0.008,0.029,0.008,0.941
AAPL,5/13/2015,0.012,0.016,0.029,0.008,0.97
AAPL,5/14/2015,0.029,0.015,0.029,0.008,0.985
AAPL,5/15/2015,0.009,0.007,0.029,0.008,0.993
AAPL,5/18/2015,0.03,0.023,0.029,0.008,0.996
AAPL,5/19/2015,0.033,0.025,0.029,0.008,0.998
AAPL,5/20/2015,0.032,0.015,0.029,0.008,0.999
AAPL,5/21/2015,0.019,-0.005,0.029,0.008,0.5
AAPL,5/22/2015,0.029,-0.003,0.029,0.008,0.25
AAPL,5/26/2015,-0.004,-0.008,0.029,0.008,0.625
AAPL,5/27/2015,0.015,-0.016,0.029,0.008,0.312
AAPL,5/28/2015,0.013,-0.027,0.029,0.008,0.156
AAPL,5/29/2015,-0.008,-0.026,0.029,0.008,0.578
AAPL,6/1/2015,-0.015,-0.034,0.029,0.008,0.789
AAPL,6/2/2015,0.003,-0.015,0.029,0.008,0.395
AAPL,6/3/2015,-0.015,-0.026,0.029,0.008,0.697
AAPL,6/4/2015,-0.019,-0.022,0.029,0.007,0.849
AAPL,6/5/2015,-0.013,-0.023,0.029,0.007,0.924
AAPL,6/8/2015,-0.021,-0.025,0.029,0.007,0.962
AAPL,6/9/2015,-0.02,-0.01,0.029,0.007,0.981
AAPL,6/10/2015,-0.01,-0.013,0.029,0.007,0.991
AAPL,6/11/2015,-0.006,-0.018,0.029,0.007,0.995
AAPL,6/12/2015,-0.012,-0.017,0.029,0.007,0.998
AAPL,6/15/2015,-0.007,0.007,0.029,0.007,0.499
AAPL,6/16/2015,0.001,0.006,0.029,0.007,0.749
AAPL,6/17/2015,-0.012,0.012,0.029,0.007,0.375
AAPL,6/18/2015,-0.006,0.013,0.029,0.007,0.187
AAPL,6/19/2015,-0.004,0.021,0.029,0.007,0.094
AAPL,6/22/2015,0.005,0.031,0.029,0.007,0.547
AAPL,6/23/2015,-0.004,0.029,0.029,0.007,0.273
AAPL,6/24/2015,0.006,0.029,0.029,0.007,0.637
AAPL,6/25/2015,-0.003,0.038,0.029,0.007,0.318
AAPL,6/26/2015,0.001,0.052,0.029,0.007,0.659
AAPL,6/29/2015,-0.024,0.04,0.029,0.007,0.33
AAPL,6/30/2015,-0.013,0.045,0.029,0.007,0.165
AAPL,7/1/2015,-0.012,-0.034,0.029,0.006,0.582
AAPL,7/2/2015,-0.008,-0.031,0.029,0.006,0.791
AAPL,7/6/2015,-0.006,-0.03,0.029,0.006,0.896
AAPL,7/7/2015,0.009,-0.014,0.029,0.006,0.448
AAPL,7/8/2015,-0.023,-0.011,0.029,0.006,0.724
AAPL,7/9/2015,-0.053,-0.018,0.029,0.006,0.862
AAPL,7/10/2015,-0.025,-0.018,0.029,0.005,0.931
AAPL,7/13/2015,-0.003,0.006,0.029,0.005,0.465
AAPL,7/14/2015,-0.001,0.017,0.029,0.005,0.233
AAPL,7/15/2015,0.034,0.05,0.029,0.006,0.616
AAPL,7/16/2015,0.068,0.074,0.029,0.006,0.808
AAPL,7/17/2015,0.05,0.07,0.029,0.006,0.904
AAPL,7/20/2015,0.05,0.046,0.03,0.007,0.952
AAPL,7/21/2015,0.04,0.029,0.03,0.007,0.976
AAPL,7/22/2015,-0.013,0.022,0.03,0.006,0.488
AAPL,7/23/2015,-0.026,0.017,0.03,0.006,0.244
AAPL,7/24/2015,-0.04,0.013,0.03,0.006,0.122
AAPL,7/27/2015,-0.073,-0.003,0.03,0.005,0.561
AAPL,7/28/2015,-0.058,0,0.03,0.005,0.281
AAPL,7/29/2015,-0.018,-0.008,0.03,0.005,0.64
AAPL,7/30/2015,-0.023,-0.027,0.03,0.005,0.82
AAPL,7/31/2015,-0.026,-0.001,0.03,0.005,0.91
AAPL,8/3/2015,-0.036,-0.002,0.03,0.005,0.955
AAPL,8/4/2015,-0.073,-0.004,0.03,0.005,0.978
AAPL,8/5/2015,-0.064,-0.002,0.031,0.005,0.989
AAPL,8/6/2015,-0.056,0.004,0.031,0.004,0.494
AAPL,8/7/2015,-0.044,-0.003,0.031,0.004,0.747
AAPL,8/10/2015,0.015,0.014,0.031,0.004,0.874
AAPL,8/11/2015,-0.006,0.049,0.031,0.004,0.437
AAPL,8/12/2015,0.003,0.007,0.031,0.004,0.718
AAPL,8/13/2015,0,0.017,0.031,0.004,0.609
AAPL,8/14/2015,0.004,0.019,0.031,0.004,0.805
AAPL,8/17/2015,-0.022,0.011,0.031,0.003,0.402
AAPL,8/18/2015,0.026,0.016,0.031,0.003,0.701
AAPL,8/19/2015,-0.002,0.008,0.031,0.003,0.351
AAPL,8/20/2015,-0.022,-0.003,0.031,0.003,0.675
AAPL,8/21/2015,-0.092,-0.005,0.031,0.003,0.838
AAPL,8/24/2015,-0.128,-0.014,0.032,0.002,0.919
AAPL,8/25/2015,-0.116,-0.035,0.033,0.002,0.959
AAPL,8/26/2015,-0.047,-0.025,0.033,0.001,0.98
