"Ticker","Currency","lags","RSquare","Estimate","dt"
"AIGPMI Index","AUDUSD",8,0.0139790068776349,0.000428244210539692,0.129978208362104
"AIGPMI Index","AUDUSD",1,0.00220239759255685,9.1729025953387e-05,0.0447479824095562
"RPAUMED Index","AUDUSD",1,0.0430505420829826,-0.00124429284577721,-0.208528477365854
"AURBA$ Index","AUDUSD",1,7.64891275458205e-05,-1.81429638327923e-05,-0.0158658199625699
"AURBSDY% Index","AUDUSD",1,0.00744826848063491,0.000151409363473391,0.0742912865646625
"AUANCCW Index","AUDUSD",1,0.0258726954641059,-0.000454289972497469,-0.164261701020965
"AIGISMI Index","AUDUSD",1,0.0336901274626129,0.000424633297300992,0.183215235203861
"AUITGSB Index","AUDUSD",1,4.98293505519186e-05,-5.40236418172142e-08,-0.0101830640312898
"AUBAC Index","AUDUSD",1,0.0293717402675279,0.000100838145961148,0.171015791645053
"AUBAY Index","AUDUSD",1,0.00737277047839785,4.80990383858814e-05,0.0859099379107365
"AICIPCI Index","AUDUSD",1,0.0259301542902699,-0.000342508025708956,-0.167469055812889
"AURSTSA Index","AUDUSD",1,8.54622051128155e-06,-3.84466602432064e-05,-0.00353326424167107
"AUFRA Index","AUDUSD",1,0.0147714133912486,-0.00020112032799358,-0.126425553414701
"AULFANTC Index","AUDUSD",1,0.00323774876561298,-0.000158897736554008,-0.0553972437561477
"ACRDBT Index","AUDUSD",1,0.00231381445073502,-5.66098644913117e-08,-0.0604794194530716
"ACRDTPV Index","AUDUSD",1,0.0017867126052977,9.5710880312004e-08,0.0309976087304479
"AUEMCHGE Index","AUDUSD",1,0.000283618449754602,-2.61942181687976e-05,-0.0229799537537475
"AULFEMPC Index","AUDUSD",1,0.00076831707290269,4.9120794633977e-06,0.0267078001777964
"AULFUNEM Index","AUDUSD",1,0.00402768943448697,-0.00311060805642083,-0.0694370431663942
"AULFEMFC Index","AUDUSD",1,0.0313771074111244,3.31548037212484e-05,0.179989394046744
"AULFEMCP Index","AUDUSD",1,0.0176546066666896,-2.23288415384767e-05,-0.13641662944016
"AULFPART Index","AUDUSD",1,0.037637123745457,-0.00790132401950982,-0.189771303525738
"AUHFCHG Index","AUDUSD",1,0.0174916107630521,-0.000301025943317319,-0.133960750854028
"AUHFILM Index","AUDUSD",1,0.000521500816135051,-3.44947210078468e-05,-0.0213921943272792
"AUHFTCHG Index","AUDUSD",1,0.00537837580505975,-0.000164277341593114,-0.075838425463822
"TDMIMOM Index","AUDUSD",1,0.012978804378458,-0.00274061901031852,-0.1127962398397
"TDMIYOY Index","AUDUSD",1,0.00534576649378416,-0.00224546424013214,-0.0737489907424698
"AUVHMOM% Index","AUDUSD",1,0.00804020024196754,-0.000193663360476404,-0.0903560027035921
"AUVHYOY% Index","AUDUSD",1,0.0107920866516282,-0.000194501847968623,-0.103327356242653
"WMCCCONS Index","AUDUSD",1,0.0295551326775087,0.000345472284440373,0.172782997685248
"WMCCCON% Index","AUDUSD",1,0.033358255986738,0.00023030630315913,0.183442381623494
"MECCTRIM Index","AUDUSD",1,0.090908914220935,0.00604490854919655,0.304717651811456
"RBFEGOVT Index","AUDUSD",1,0.0595375827510478,3.06131480044895e-06,0.248292250661724
"RBFEMRKT Index","AUDUSD",1,0.0505478887293053,-2.57498604410097e-06,-0.226487154679496
"RBFEOTRI Index","AUDUSD",1,4.3245030325651e-05,1.43940466446924e-06,0.00888993118715274
"NABSCOND Index","AUDUSD",1,0.0439571634707137,0.000461478731805899,0.204698088176908
"NABSCONF Index","AUDUSD",1,2.17546206006126e-08,-3.11894943313767e-07,-0.00445379033281457
"AULILGM% Index","AUDUSD",1,0.0219941272372917,-0.00382319876497806,-0.148097058461447
"DLIVTM% Index","AUDUSD",1,0.0285456114774129,-0.00122024707022552,-0.171829419705563
"AUCPICHG Index","AUDUSD",1,0.00028350466281106,0.000196893462198131,0.0340302041520238
"AUCPIYOY Index","AUDUSD",1,0.00105112584111484,0.000361658973518093,-0.0161448718397623
"RBCPTRIQ Index","AUDUSD",1,0.000777664776293569,-0.00060089792730752,-0.0412904017020724
"RBCPTRIY Index","AUDUSD",1,0.00158950227068421,-0.000984662461282488,-0.113629883303509
"RBCPWM%Q Index","AUDUSD",1,0.133543697560925,0.0103877915661817,0.374969639146088
"RBCPWM%Y Index","AUDUSD",1,0.0328063962107949,0.00347530401035473,0.133127443769529
"AUWMQQIB Index","AUDUSD",1,0.291924291832752,0.000546693382857641,0.61015413377788
"AUWMQQIA Index","AUDUSD",1,0.153769722065013,0.000654983164011802,0.400258785165566
"AUPPFMOM Index","AUDUSD",1,0.117389103867996,0.00327730098323759,0.364297708536826
"AUPPFYOY Index","AUDUSD",1,0.0936849850527345,0.00298997866232498,0.265510780064455
"OZCACRM% Index","AUDUSD",1,0.000513282028852669,-0.00113825559040251,-0.0205082385875946
"OZCACRY% Index","AUDUSD",1,0.0312283388141701,0.00663631925249461,0.163551861658704
"CBAHIA Index","AUDUSD",1,0.256733803551644,-0.000446524502480032,-0.482470342845928
"RBATCTR Index","AUDUSD",1,0.000441037143437435,0.000992509910468312,-0.00578914092138355
"NABQCODO Index","AUDUSD",1,0.0161952578078142,0.000229713219667927,0.153813789100687
"AURTURNQ Index","AUDUSD",1,0.223474855402465,0.00264395361616741,0.5031626541391
"AUWCQSA Index","AUDUSD",1,0.361518680144908,0.0278498758449782,0.577664725882603
"AUWCYSA Index","AUDUSD",1,0.196078079111291,0.0176863864147349,0.345361863997544
"AUCNQTOT Index","AUDUSD",1,0.15382513518434,-0.000614928286800086,-0.392299946569225
"AUCECHG Index","AUDUSD",1,0.1481315033152,-0.00045795302327191,-0.409223778970056
"INAUQOQ Index","AUDUSD",1,0.11129980313757,-0.0020719864233593,-0.369256037182137
"AUPGOP Index","AUDUSD",1,0.308290315295604,0.000486751105517016,0.66141931318513
"AUCANXP Index","AUDUSD",1,0.110990910897045,0.00173162413316867,0.347528705041396
"AUCABAL Index","AUDUSD",1,0.251130453000125,6.30721196761143e-07,0.541465647698221
"AUNAGDPC Index","AUDUSD",1,0.000950040910534157,0.000284750359097411,0.0504510162186527
"AUNAGDPY Index","AUDUSD",1,9.66068733614927e-05,-7.92510336644268e-05,-0.00804177255708741
"AURHQOQ Index","AUDUSD",1,0.0316566993069537,0.000571625023904663,0.156539055683658
"AURHYOY Index","AUDUSD",1,0.0100272038683222,0.000295302637716111,0.025006766901615
"MPMICAMA Index","AUDUSD",1,0.0315949237920059,-0.0013210280622765,-0.182071815879096
"BNCCINDX Index","AUDUSD",1,0.0219607294375192,-0.00172569712501686,-0.146694745039414
"CAIPMOM Index","AUDUSD",1,0.0109381116335735,-0.00109426471079132,-0.105607132781264
"CARAMOM Index","AUDUSD",1,0.00907630547644037,-0.00017921140456395,-0.0967078869318848
"CATBTOTB Index","AUDUSD",1,0.00282221645590588,0.00034583665622849,0.0526390364831857
"IVEYSA Index","AUDUSD",1,1.47262496242625e-05,4.21641262150333e-06,0.00572369374313388
"CAHOMOM Index","AUDUSD",1,0.00390744383445277,2.67336025029403e-05,0.0638588696930741
"CANLXEMR Index","AUDUSD",1,0.00454736788443626,-0.00429172736425065,-0.0593673011880395
"CANLNETJ Index","AUDUSD",1,0.037938322295965,2.88670932919425e-05,0.194112816155177
"CANLFLNC Index","AUDUSD",1,0.00215741235390986,-6.17313392622791e-06,-0.0468925095986549
"CANLPTNC Index","AUDUSD",1,0.0460700262641092,2.7739078397998e-05,0.21448338141066
"CANLPRTR Index","AUDUSD",1,0.00330896012596976,-0.00374921327796305,-0.0491690893541402
"CAHSTOTL Index","AUDUSD",1,0.000545786415528261,9.14537429029543e-06,0.0229266043317603
"BCBSFUTR Index","AUDUSD",1,0.0036850916386861,-2.25622208564191e-05,-0.0325792705559044
"BOCLOVER Index","AUDUSD",1,0.183451402064589,0.00028819169054532,0.455789368501785
"TNBHICM% Index","AUDUSD",1,0.00850957158448993,0.00180165494928826,0.0891890142405684
"TNBHICP Index","AUDUSD",1,0.0171547469118326,0.000721882522460512,0.0687249229133834
"TNBHICY% Index","AUDUSD",1,0.0446395264236403,0.00372533616360432,0.186131883282708
"CAHUMOM Index","AUDUSD",1,0.00310310719032529,-0.00259790075158368,-0.0541637251260232
"CAHUYOY Index","AUDUSD",1,0.0086663775104069,-0.00477430777545758,-0.100460899133704
"ECONCREA Index","AUDUSD",1,0.00308415921086784,-0.000133382614441923,-0.0558842337738616
"CAITFICS Index","AUDUSD",1,0.000815896619888104,-1.8025985750923e-05,-0.0283954102862762
"CAWTMOM Index","AUDUSD",1,0.00471291848672861,-0.000289442695080526,-0.0681792550656748
"CAMFCHNG Index","AUDUSD",1,0.000205040214037436,4.52888060240166e-05,0.012831878246131
"CABROVER Index","AUDUSD",1,0.113017688279875,0.0374448000745675,0.320241614522234
"CARSCHNG Index","AUDUSD",1,0.000184649763549456,-7.10546413329942e-05,-0.0133418643881674
"CARSXASC Index","AUDUSD",1,9.6180588301203e-06,-1.88501253694618e-05,-0.00220218766869885
"CACPICHG Index","AUDUSD",1,0.0163450140802518,0.00224368896906157,0.126557409866857
"CACPIYOY Index","AUDUSD",1,0.0109135042800922,-0.00236270696369998,-0.102490650575376
"CACPI Index","AUDUSD",1,0.00339034171880879,0.000943381990517016,0.029462821554805
"CACPX8M Index","AUDUSD",1,0.0378560686925748,0.00419370659152572,0.195503130210763
"CACPX8Y Index","AUDUSD",1,0.00533760060954247,-0.00315827420909502,-0.0697679790707681
"CACPAMOM Index","AUDUSD",1,0.0315536027004033,-0.00487951497968812,-0.176761126310134
"CACPCMOM Index","AUDUSD",1,0.00294505474051394,-0.00268388578083557,-0.0530251008907515
"CFIBCANA Index","AUDUSD",1,0.113048837866974,-0.00138991967611609,-0.328677697793474
"CAGDPMOM Index","AUDUSD",1,0.00228167495245624,0.000867372534418619,0.0462418877967414
"CAGDPYOY Index","AUDUSD",1,0.0036276040988229,-0.00108371670175032,-0.0617916945841781
"CACURENT Index","AUDUSD",1,0.031232338395728,0.000314271111825645,0.182987938087943
"CGE9ANN Index","AUDUSD",1,0.0701984391493768,-0.000748391770845899,-0.271273388161027
"CALPPROD Index","AUDUSD",1,0.170871197530994,-0.00279951215450365,-0.429972156477924
"CACAPUTL Index","AUDUSD",1,0.00586897603150089,-0.000533029526180513,-0.0477823881929973
"CAMLILIM Index","AUDUSD",1,0.0227896043448685,-0.00360173468110114,-0.171955505027949
"INJCJC Index","AUDUSD",1,0.00228208432639014,-1.8814118317149e-05,-0.045617358081331
"INJCSP Index","AUDUSD",1,0.000251166586250506,-2.22991166217315e-06,-0.00741035536875915
"MAPMINDX Index","AUDUSD",1,0.0160538961472283,0.000174916247463224,0.127997935274771
"CHPMINDX Index","AUDUSD",1,0.0263431397462336,-0.000233933402789937,-0.16132022829658
"COMFCOMF Index","AUDUSD",1,0.000982697718811395,5.03123001839131e-05,0.0260238162411899
"MPMIUSMA Index","AUDUSD",1,0.00824586788362458,0.000763973136969249,0.0948462177176511
"CNSTTMOM Index","AUDUSD",1,0.00179793635080994,-0.000239627030370902,-0.0427518625150424
"NAPMPMI Index","AUDUSD",1,0.0319865552906494,-0.000785824836293159,-0.18296156394653
"NAPMPRIC Index","AUDUSD",1,0.000149974115685038,-1.86840730514384e-05,-0.0137505649462371
"NYPMCURR Index","AUDUSD",1,0.00970243573809887,8.07637520850082e-05,0.100248886319491
"MBAVCHNG Index","AUDUSD",1,0.0112642542403645,6.93408343691401e-05,0.106284626117465
"SAARDTOT Index","AUDUSD",1,0.00504524680653741,0.00110005765067509,0.0668594088443007
"SAARTOTL Index","AUDUSD",1,3.96162667078131e-05,-8.00353925088442e-05,-0.0109370166372121
"ADP CHNG Index","AUDUSD",1,9.20337382966742e-05,1.77980206756698e-06,0.00838630364687928
"USTBTOT Index","AUDUSD",1,0.0147774521235937,-0.000189763798812426,-0.121321458658259
"MPMIUSSA Index","AUDUSD",1,0.0172196006443163,-0.000680086474505329,-0.129361433017825
"MPMIUSCA Index","AUDUSD",1,0.00490379483658717,-0.000385834314763434,-0.0675249568163196
"NAPMNMI Index","AUDUSD",1,0.000489790170175812,-8.56214841018886e-05,-0.0223570536615625
"TMNOCHNG Index","AUDUSD",1,3.72090913366554e-07,1.0612654466567e-06,0.000652510192051674
"TMNOXTM% Index","AUDUSD",1,0.0690739607348829,-0.00318265348857838,-0.269884473804011
"DGNOCHNG Index","AUDUSD",1,0.000206937112972401,1.2167204290998e-05,0.0144988657844036
"DGNOXTCH Index","AUDUSD",1,0.0173902058510301,-0.000766298544054536,-0.130488398428905
"CGNOXAI% Index","AUDUSD",1,0.000226204160034693,-3.93232743818464e-05,-0.0143509972931579
"CGSHXAI% Index","AUDUSD",1,0.00120013459426525,-0.000182819428392146,-0.0326845122371356
"CHALYOY% Index","AUDUSD",1,0.000188775606559888,-2.3182910633565e-06,-0.0122569160926942
"NFP TCH Index","AUDUSD",1,0.0594125817737872,2.42607226760395e-05,0.245023218204459
"NFP PCH Index","AUDUSD",1,0.0455718989088307,2.1478053076075e-05,0.214502635515327
"USMMMNCH Index","AUDUSD",1,0.0279665036510117,-7.83388523721822e-05,-0.165414344591474
"USURTOT Index","AUDUSD",1,0.000185195325075868,-0.000696450885622683,0.029179693191755
"AHE MOM% Index","AUDUSD",1,0.0138552793295904,-0.00323212360384837,-0.118324770308299
"AHE YOY% Index","AUDUSD",1,0.0209147880403869,-0.00525322589134219,-0.150476803042397
"AWH TOTL Index","AUDUSD",1,0.015785137211143,-0.0103834194533219,-0.124449466600657
"USEMNCHG Index","AUDUSD",1,0.0072657813233808,1.48122800763837e-06,0.0862585349831912
"PRUSTOT Index","AUDUSD",1,0.0435035775462793,0.0111912343212041,0.225364659059908
"USUDMAER Index","AUDUSD",1,0.0371889418950695,-0.00691390760107955,-0.165789568439502
"MWINCHNG Index","AUDUSD",1,0.00962605673261346,-0.00131809544637384,-0.0956316579768648
"MWSLCHNG Index","AUDUSD",1,0.00523315900716151,-0.000434586419996966,-0.0803881816812876
"CICRTOT Index","AUDUSD",1,0.00416641709628061,6.4525409926191e-05,0.0648724302987378
"LMCILMCC Index","AUDUSD",1,0.0503248568593494,0.000929637305079064,0.231019462832966
"SBOITOTL Index","AUDUSD",1,0.0012939897889487,0.000142768723903457,0.0258883459694669
"JOLTTOTL Index","AUDUSD",1,4.34100000463345e-05,2.74455324397941e-07,-0.00916565047778758
"FDDSSD Index","AUDUSD",1,0.159456260696206,-1.93066769998269e-05,-0.404687574905674
"IMP1CHNG Index","AUDUSD",1,0.000223712896024651,0.000123322481528139,0.0150353498224931
"IMP1YOY% Index","AUDUSD",1,0.017744350195758,-0.000823525105916649,-0.131429789031009
